Nama_Perusahaan,Kelurahan,Kecamatan,Kota,Provinsi,Sektor,Klasifikasi_Perusahaan,Status_Kepemilikan,Pria,Wanita,Total_TK,TKA_Pria,TKA_Wanita,Disabilitas_Pria,Disabilitas_Wanita,PKWTT_Pria,PKWT_Pria,PKWTT_Wanita,PKWT_Wanita,PKWTT_Wanita_Disabilitas,PKWT_Wanita_Disabilitas,PKWTT_Pria_Disabilitas,PKWT_Pria_Disabilitas,Permodalan,PP,PKB
Perusahaan 1,Tugu,Cimanggis,KOTA DEPOK,JAWA BARAT,Industri Pipa Plastik Dan Perlengkapannya,Kecil,Swasta,11,3,14,0,0,0,0,11,0,3,0,0,0,0,0,PMDN,Ya,Tidak
Perusahaan 2,Krukut,Limo,KOTA DEPOK,JAWA BARAT,Perdagangan Eceran Kaki Lima Dan Los Pasar Minuman,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 3,Harjamukti,Cimanggis,KOTA DEPOK,JAWA BARAT,Restoran,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Swasta Nasional,Tidak,Tidak
Perusahaan 4,Depok,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Real Estat Yang Dimiliki Sendiri Atau Disewa,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 5,Baktijaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Konstruksi Bangunan Sipil Elektrikal,Belum Input Data,Swasta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 6,Sukamaju Baru,Tapos,KOTA DEPOK,JAWA BARAT,Konstruksi Gedung Tempat Tinggal,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 7,Depok,Pancoran Mas,KOTA DEPOK,JAWA BARAT,null,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 8,Harjamukti,Cimanggis,KOTA DEPOK,JAWA BARAT,Aktivitas Penunjang Pertambangan Dan Penggalian Lainnya,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 9,Jatijajar,Tapos,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Kaki Lima Dan Los Pasar Pakan Ternak, Pakan Unggas Dan Pakan Ikan",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 10,Jatimulya,Cilodong,KOTA DEPOK,JAWA BARAT,Penyediaan Akomodasi Lainnya,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 11,Duren Seribu,Bojongsari,KOTA DEPOK,JAWA BARAT,"Perdagangan Eceran Berbagai Macam Barang Yang Utamanya Bukan Makanan, Minuman Atau Tembakau (Barang-Barang Kelontong) Bukan Di Toserba (Department Store)",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 12,Mekar Jaya,Sukmajaya,KOTA DEPOK,JAWA BARAT,Industri Minuman Ringan,Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 13,Cisalak,Sukmajaya,KOTA DEPOK,JAWA BARAT,Perdagangan Besar Bahan Konstruksi Lainnya,Belum Input Data,Persero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 14,Pancoran Mas,Pancoran Mas,KOTA DEPOK,JAWA BARAT,"Pertanian Tanaman Rempah-Rempah, Aromatik/Penyegar, Narkotik Dan Obat Lainnya",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 15,Kukusan,Beji,KOTA DEPOK,JAWA BARAT,"Aktivitas Foto Kopi, Penyiapan Dokumen Dan Aktivitas Khusus Penunjang Kantor Lainnya",Belum Input Data,null,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 16,Harjamukti,Cimanggis,KOTA DEPOK,JAWA BARAT,Aktivitas Fotografi,Menengah,Swasta,19,1,20,0,0,0,0,10,9,1,0,0,0,0,0,PMDN,Tidak,Tidak
Perusahaan 17,Pancoran Mas,Pancoran Mas,KOTA DEPOK,JAWA BARAT,Pembiayaan Konsumen (Consumers Credit),Menengah,Persero,56,7,63,0,0,0,1,56,0,7,0,1,0,0,0,Swasta Nasional,Ya,Ya
